,RSS,_AktpT308_sf,_FourEBP1pT37_46_sf,_IRS1pS636_639_sf,_PI3K,_PRAS40pT246_sf,_S6KpT389_sf,_TSC2pT1462_sf,_kAktIn,_kAktOut,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1In,_kFourEBP1Out,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1ActBasal,_kIRS1Act_kcat,_kIRS1Act_km,_kIRS1In,_kIRS1Out,_kIRS1Out2,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40In,_kPras40Out,_kPras40Phos_kcat,_kPras40Phos_km,_kS6KIn,_kS6KOut,_kS6KPhos_kcat,_kS6KPhos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_kTSCIn,_kTSCOut,_kmTORC1LysToCyt,_kmTORC1Phos_kcat,_kmTORC1Phos_km,_kmTORC1cytToLys,_kmTORC1cytToLysBasal,_mTORC1cyt
10,0.208218,0.920469,0.997469,0.952678,0.21963,1.00276,0.983281,0.933586,0.097236,0.100365,1.85487,1.04884,0.28653,1.25747,3.6482,0.0690496,1.50403,1.58591,1.8711,0.108733,0.193037,0.169049,0.28381,0.1,0.114208,1.67538,1.51053,0.775776,1.5257,1.14383,1.38036,0.061678099999999986,1.27339,1.01981,0.18745,0.167581,0.01,0.1,0.116786,5.7797,4.51244,0.190779,1.32301,0.372428,0.368455
11,0.208219,0.920702,0.997367,0.952715,0.219593,1.00312,0.983218,0.933787,0.0972589,0.100338,1.85507,1.04864,0.286488,1.25752,3.64792,0.0690554,1.50399,1.58582,1.872,0.10873499999999997,0.193049,0.169032,0.283816,0.1,0.114191,1.67544,1.51019,0.775667,1.52612,1.14407,1.37975,0.0616512,1.27327,1.0197200000000002,0.187433,0.167578,0.01,0.1,0.116781,5.77962,4.51244,0.190775,1.32304,0.372426,0.368465
12,0.20822,0.920924,0.997252,0.952763,0.219556,1.00346,0.983168,0.933976,0.0972819,0.100311,1.85525,1.04844,0.286445,1.25758,3.64768,0.0690612,1.50395,1.58573,1.8729,0.108737,0.193061,0.169015,0.283822,0.1,0.114175,1.67549,1.50987,0.775547,1.52651,1.1443,1.37917,0.0616256,1.27316,1.01964,0.187416,0.167574,0.01,0.1,0.116779,5.77954,4.51244,0.19077,1.32308,0.372424,0.368474
13,0.208222,0.921134,0.997124,0.952823,0.219519,1.0038,0.98313,0.934153,0.0973038,0.100285,1.85541,1.04825,0.286402,1.25764,3.64745,0.0690671,1.50391,1.58565,1.87379,0.10874,0.193073,0.168999,0.283828,0.1,0.114158,1.67555,1.50958,0.775418,1.52689,1.14451,1.3786200000000002,0.06160130000000001,1.27307,1.01956,0.187399,0.167572,0.01,0.1,0.116776,5.77946,4.51244,0.190766,1.32311,0.372421,0.368484
14,0.208224,0.921333,0.997009,0.952872,0.219485,1.00411,0.983079,0.934318,0.0973247,0.10026,1.85554,1.04807,0.28636,1.2577,3.64717,0.06907289999999999,1.50387,1.58556,1.87469,0.108742,0.193085,0.168982,0.28383400000000003,0.1,0.114141,1.6756099999999998,1.5093,0.775278,1.52724,1.14471,1.37811,0.061578199999999986,1.27299,1.01948,0.187382,0.16757,0.01,0.1,0.116773,5.7793800000000015,4.5124900000000014,0.190762,1.32315,0.372419,0.368493
15,0.208225,0.921543,0.996907,0.952908,0.219453,1.00442,0.983042,0.934471,0.0973455,0.100237,1.85565,1.04789,0.286317,1.25776,3.64689,0.06907869999999999,1.50383,1.5854700000000002,1.87558,0.108745,0.193097,0.168965,0.28384000000000004,0.1,0.114125,1.67567,1.50904,0.775149,1.52758,1.14489,1.37762,0.0615552,1.27291,1.01941,0.187365,0.167568,0.01,0.1,0.116771,5.7793,4.51255,0.190758,1.32318,0.372417,0.368498
16,0.208226,0.921765,0.996818,0.952956,0.219422,1.00472,0.983016,0.934613,0.0973653,0.100215,1.85574,1.0477299999999998,0.28627800000000003,1.2578,3.64666,0.06908450000000001,1.50379,1.58538,1.87648,0.108746,0.193109,0.16895,0.283843,0.100001,0.114108,1.67573,1.50879,0.775019,1.5279200000000002,1.14507,1.37714,0.0615322,1.27283,1.0193299999999998,0.187348,0.16756600000000002,0.01,0.1,0.116768,5.77922,4.5126,0.190754,1.32321,0.372415,0.368503
17,0.208227,0.921975,0.996729,0.953004,0.219391,1.005,0.982991,0.934743,0.09738510000000003,0.100194,1.85581,1.04757,0.286242,1.25783,3.64647,0.0690904,1.50376,1.58528,1.87738,0.108748,0.193121,0.168935,0.283846,0.100003,0.114092,1.6757799999999998,1.50855,0.77488,1.52827,1.14524,1.37669,0.0615091,1.2727700000000002,1.01925,0.187331,0.16756400000000002,0.01,0.1,0.116765,5.77914,4.51265,0.19075,1.32325,0.372413,0.368507
18,0.208228,0.922197,0.996652,0.953041,0.219362,1.00526,0.982966,0.93486,0.0974039,0.100175,1.85585,1.04742,0.286207,1.25786,3.64629,0.0690947,1.50373,1.5852,1.87827,0.108748,0.193133,0.16892,0.283846,0.100003,0.114075,1.6758400000000002,1.50831,0.77474,1.52861,1.14539,1.37627,0.06148740000000001,1.27271,1.01918,0.187314,0.16756300000000002,0.01,0.1,0.116762,5.7790599999999985,4.5127,0.190746,1.32328,0.37241,0.368512
19,0.208229,0.922407,0.996576,0.953065,0.219334,1.00552,0.982953,0.934967,0.0974216,0.100157,1.85587,1.04726,0.286171,1.2579,3.6461,0.06909760000000001,1.50369,1.58511,1.87917,0.108748,0.193145,0.168905,0.283846,0.100003,0.114058,1.6759,1.50808,0.774601,1.52894,1.14554,1.37589,0.0614669,1.27265,1.01911,0.187298,0.167559,0.01,0.1,0.11676,5.778980000000002,4.51275,0.190741,1.3233,0.372408,0.368517
