Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[_PI3K]	[pPI3K]	[pmTORC1]	[_mTORC1]	Values[Insulin]	Values[AA]	Values[_mTORC1cyt]	Values[mTORC1lys]	Values[_kIRS1In]	Values[_kIRS1Out]	Values[_kIRS1Out2]	Values[_kIRS1ActBasal]	Values[_kIRS1Act_km]	Values[_kIRS1Act_kcat]	Values[kIRS1Inact]	Values[_kIRS1Phos_km]	Values[_kIRS1Phos_kcat]	Values[_kPI3KPhos_km]	Values[_kPI3KPhos_kcat]	Values[kPI3KDephos]	Values[_kAktPhos_km]	Values[_kAktPhos_kcat]	Values[kAktDephos]	Values[_kAktIn]	Values[_kAktOut]	Values[_kTSC2Phos_km]	Values[_kTSC2Phos_kcat]	Values[_kTSC2Dephos]	Values[_kTSCIn]	Values[_kTSCOut]	Values[_kmTORC1PhosBasal]	Values[_kmTORC1Phos_km]	Values[_kmTORC1Phos_vmax]	Values[_kmTORC1Dephos_km]	Values[_kmTORC1Dephos_kcat]	Values[_kPras40In]	Values[_kPras40Out]	Values[_kPras40Phos_km]	Values[_kPras40Phos_kcat]	Values[kPras40Dephos]	Values[_kFourEBP1In]	Values[_kFourEBP1Out]	Values[_kFourEBP1Phos_km]	Values[_kFourEBP1Phos_kcat]	Values[kFourEBP1Dephos]	Values[_kS6KIn]	Values[_kS6KOut]	Values[_kS6KPhos_km]	Values[_kS6KPhos_kcat]	Values[kS6KDephos]	Values[_IRS1pS636_639_sf]	Values[_AktpT308_sf]	Values[_TSC2pT1462_sf]	Values[_PRAS40pT246_sf]	Values[_FourEBP1pT37_46_sf]	Values[_S6KpT389_sf]	Values[IRS1pS636_639_obs]	Values[AktpT308_obs]	Values[TSC2pT1462_obs]	Values[PRAS40pT246_obs]	Values[FourEBP1pT37_46_obs]	Values[S6KpT389_obs]	Values[mTORC1]	Values[TSC]
38.2	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.21	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.22	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.23	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.24	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.25	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.26	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.27	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.28	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.29	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.3	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.31	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.32	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.33	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.34	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.35	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.36	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.37	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.38	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.39	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.4	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.41	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.42	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.43	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.44	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.45	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.46	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.47	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.48	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.49	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.5	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.51	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.52	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.53	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.54	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.55	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.56	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.57	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.58	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.59	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.6	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.61	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.62	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.63	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.64	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.65	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.66	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.67	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.68	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.69	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.7	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.71	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.72	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.73	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.74	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.75	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.76	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.77	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.78	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.79	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.8	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
38.81	0.742432	0.910954	0.257568	1	0.5	1	0.25	1	0.25	1	0.540312	1	0.540312	9.27768	0.82232	1.08062	0.0193752	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.257568	0.5	0.25	0.25	0.540312	0.540312	1	1
