Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[_PI3K]	[pPI3K]	[pmTORC1]	[_mTORC1]	Values[Insulin]	Values[AA]	Values[_mTORC1cyt]	Values[mTORC1lys]	Values[_kIRS1In]	Values[_kIRS1Out]	Values[_kIRS1Out2]	Values[_kIRS1ActBasal]	Values[_kIRS1Act_km]	Values[_kIRS1Act_kcat]	Values[kIRS1Inact]	Values[_kIRS1Phos_km]	Values[_kIRS1Phos_kcat]	Values[_kPI3KPhos_km]	Values[_kPI3KPhos_kcat]	Values[kPI3KDephos]	Values[_kAktPhos_km]	Values[_kAktPhos_kcat]	Values[kAktDephos]	Values[_kAktIn]	Values[_kAktOut]	Values[_kTSC2Phos_km]	Values[_kTSC2Phos_kcat]	Values[_kTSC2Dephos]	Values[_kTSCIn]	Values[_kTSCOut]	Values[_kmTORC1PhosBasal]	Values[_kmTORC1Phos_km]	Values[_kmTORC1Phos_vmax]	Values[_kmTORC1Dephos_km]	Values[_kmTORC1Dephos_kcat]	Values[_kPras40In]	Values[_kPras40Out]	Values[_kPras40Phos_km]	Values[_kPras40Phos_kcat]	Values[kPras40Dephos]	Values[_kFourEBP1In]	Values[_kFourEBP1Out]	Values[_kFourEBP1Phos_km]	Values[_kFourEBP1Phos_kcat]	Values[kFourEBP1Dephos]	Values[_kS6KIn]	Values[_kS6KOut]	Values[_kS6KPhos_km]	Values[_kS6KPhos_kcat]	Values[kS6KDephos]	Values[_IRS1pS636_639_sf]	Values[_AktpT308_sf]	Values[_TSC2pT1462_sf]	Values[_PRAS40pT246_sf]	Values[_FourEBP1pT37_46_sf]	Values[_S6KpT389_sf]	Values[IRS1pS636_639_obs]	Values[AktpT308_obs]	Values[TSC2pT1462_obs]	Values[PRAS40pT246_obs]	Values[FourEBP1pT37_46_obs]	Values[S6KpT389_obs]	Values[mTORC1]	Values[TSC]
0.1	8.25131	1.03624	0.0939322	9.1348	0.109158	1.08701	9.05199	9.14403	0.0994754	9.13878	0.104907	9.13878	0.104907	9.95773	0.142272	0.229172	0.870828	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0939322	0.109158	9.05199	0.0994754	0.104907	0.104907	1	1
0.11	8.09966	1.11559	0.0935413	9.0527	0.110316	1.17518	8.9625	9.063	0.0994693	9.05674	0.105971	9.05674	0.105971	9.94941	0.150587	0.240918	0.859082	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0935413	0.110316	8.9625	0.0994693	0.105971	0.105971	1	1
0.12	7.9518	1.19263	0.0931785	8.97136	0.111539	1.26157	8.87393	8.98277	0.0994732	8.97542	0.107126	8.97542	0.107126	9.94047	0.159526	0.252473	0.847527	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0931785	0.111539	8.87393	0.0994732	0.107126	0.107126	1	1
0.13	7.80764	1.2674	0.0928427	8.89076	0.112832	1.3462	8.78627	8.90333	0.0994874	8.89483	0.108371	8.89483	0.108371	9.93094	0.16906	0.263839	0.836161	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0928427	0.112832	8.78627	0.0994874	0.108371	0.108371	1	1
0.14	7.66708	1.33997	0.0925328	8.81088	0.114198	1.42909	8.6995	8.82466	0.0995124	8.81495	0.109701	8.81495	0.109701	9.92084	0.179165	0.275022	0.824978	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0925328	0.114198	8.6995	0.0995124	0.109701	0.109701	1	1
0.15	7.53003	1.41039	0.0922482	8.73173	0.115642	1.51027	8.61362	8.74677	0.0995488	8.73578	0.111116	8.73578	0.111116	9.91019	0.189814	0.286026	0.813974	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0922482	0.115642	8.61362	0.0995488	0.111116	0.111116	1	1
0.16	7.3964	1.47873	0.091988	8.65328	0.117167	1.58977	8.52861	8.66964	0.0995971	8.65732	0.112611	8.65732	0.112611	9.89902	0.200983	0.296855	0.803145	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.091988	0.117167	8.52861	0.0995971	0.112611	0.112611	1	1
0.17	7.26611	1.54504	0.0917518	8.57552	0.118775	1.66762	8.44448	8.59326	0.099658	8.57956	0.114185	8.57956	0.114185	9.88735	0.212648	0.307512	0.792488	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0917518	0.118775	8.44448	0.099658	0.114185	0.114185	1	1
0.18	7.13905	1.60937	0.0915392	8.49846	0.120471	1.74383	8.36121	8.51764	0.0997321	8.5025	0.115835	8.5025	0.115835	9.87522	0.224785	0.318002	0.781998	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0915392	0.120471	8.36121	0.0997321	0.115835	0.115835	1	1
0.19	7.01516	1.67176	0.0913498	8.42207	0.122257	1.81844	8.27878	8.44275	0.0998199	8.42614	0.117558	8.42614	0.117558	9.86263	0.237372	0.328328	0.771672	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0913498	0.122257	8.27878	0.0998199	0.117558	0.117558	1	1
0.2	6.89435	1.73228	0.0911833	8.34635	0.124135	1.89147	8.19721	8.36859	0.0999221	8.35046	0.119353	8.35046	0.119353	9.84961	0.250388	0.338493	0.761507	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0911833	0.124135	8.19721	0.0999221	0.119353	0.119353	1	1
0.21	6.77654	1.79098	0.0910394	8.27129	0.126108	1.96294	8.11646	8.29515	0.100039	8.27547	0.121216	8.27547	0.121216	9.83619	0.26381	0.348501	0.751499	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0910394	0.126108	8.11646	0.100039	0.121216	0.121216	1	1
