,RSS,_AktpT308_sf,_FourEBP1pT37_46_sf,_IRS1pS636_639_sf,_PI3K,_PRAS40pT246_sf,_S6KpT389_sf,_TSC2pT1462_sf,_kAktIn,_kAktOut,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1In,_kFourEBP1Out,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1ActBasal,_kIRS1Act_kcat,_kIRS1Act_km,_kIRS1In,_kIRS1Out,_kIRS1Out2,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40In,_kPras40Out,_kPras40Phos_kcat,_kPras40Phos_km,_kS6KIn,_kS6KOut,_kS6KPhos_kcat,_kS6KPhos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_kTSCIn,_kTSCOut,_kmTORC1LysToCyt,_kmTORC1Phos_kcat,_kmTORC1Phos_km,_kmTORC1cytToLys,_kmTORC1cytToLysBasal,_mTORC1cyt
0,2.0164,1.63621,0.939476,0.9599639999999999,99.345,1.47678,2.61421,0.392046,0.100005,0.707044,4.84136,0.8848600000000001,0.1,0.170993,0.761727,2.28896,0.224464,9.999239999999999,0.010004299999999999,0.9436049999999999,0.146275,0.130468,0.324689,9.53662,0.572298,0.100297,6.78343,0.100013,1.00006,9.999989999999999,0.100853,5.2026900000000005,2.7246,0.29229299999999997,1.2139,2.57871,7.771089999999999,1.27633,0.282538,0.834664,3.7860199999999997,1.57618,0.100006,0.25710700000000003,9.0071
1,2.01647,1.60734,0.941218,0.973978,8.60747,1.48701,2.62188,0.389201,0.10076399999999999,0.676108,5.55086,1.11944,5.29137,2.30595,0.396401,3.12485,0.100016,6.30894,0.863875,5.20865,1.55798,0.166011,0.737062,8.98447,0.961326,1.54275,6.61344,0.100002,1.02494,9.99998,0.803359,4.27056,0.972441,0.812311,0.7295689999999999,0.9508709999999999,8.77064,3.03709,0.220838,0.13256700000000002,5.29,0.5260739999999999,0.100327,9.883989999999999,5.520980000000001
2,2.01657,1.5731,0.9416040000000001,0.966883,15.8711,1.4927700000000002,2.6217599999999996,0.391288,0.1,0.45949399999999996,5.07979,1.5108700000000002,0.341737,9.85282,2.3424099999999997,0.683299,0.390629,2.03039,0.0100004,1.6248200000000002,0.3219,0.5423100000000001,0.703112,0.677956,1.61599,5.85376,6.56273,0.1,1.0452299999999999,10.0,0.45220200000000005,1.9805099999999998,0.567211,0.821116,1.1920899999999999,1.2822200000000001,6.562410000000001,2.56284,0.126249,9.47662,5.8886,0.776718,0.102552,1.43125,8.65214
3,2.0166,1.7494900000000002,0.940494,0.9896739999999999,36.6662,1.4629299999999998,2.64603,0.392368,0.100022,0.363086,6.53355,2.25508,0.115006,0.10006799999999999,0.817187,0.19525599999999999,0.10003200000000001,9.76153,0.0100244,10.0,9.99875,1.27165,1.5051,1.0494299999999999,0.6028399999999999,0.100035,6.87966,0.10000099999999999,0.939153,9.999989999999999,0.344968,0.101565,3.04334,9.71022,0.6288199999999999,0.8770040000000001,0.968577,0.10765799999999999,0.100204,0.10078,9.87624,0.100272,0.10022400000000001,0.152351,1.18521
4,2.0166,1.6346100000000001,0.9462510000000001,0.9730479999999999,7.873989999999999,1.48491,2.60481,0.39302800000000004,0.100007,0.312792,6.03299,2.57784,2.9962299999999997,0.10244,0.522713,0.16760899999999998,0.305027,1.31736,1.33026,3.02487,0.127116,1.88077,2.65101,0.775497,1.8999,0.567653,6.82005,0.10001499999999999,0.99902,9.999319999999999,2.70053,2.16862,1.7308,2.60003,0.625634,0.6545880000000001,4.87384,2.1747099999999997,0.1487,0.255984,4.68763,0.749768,9.99053,2.95483,1.66523
5,2.01674,1.5230299999999999,0.942608,0.970952,31.6301,1.49783,2.6251900000000004,0.39379699999999995,0.125865,0.533125,4.84284,1.6047,9.06632,0.140448,0.408182,6.139419999999999,0.723934,4.2693900000000005,0.010188899999999999,0.32361,0.104404,0.10373299999999999,0.12603399999999998,1.01442,0.671787,0.645818,6.49771,0.1,1.07392,9.99998,2.43852,0.8883770000000001,0.702443,1.9999900000000002,3.6755199999999997,5.85315,9.99975,1.7229700000000001,0.153373,0.109856,7.11897,0.194132,9.94635,9.81765,2.36637
6,2.0167599999999997,1.50796,0.9474440000000001,0.972995,14.3589,1.4994299999999998,2.58892,0.392433,0.100005,1.2092,4.06534,0.464183,1.24937,5.01243,5.93504,0.108144,0.235704,0.100018,0.010018899999999999,9.99977,0.100637,0.266703,0.254843,0.14341500000000001,3.3557099999999997,4.3285,6.5899399999999995,0.1,1.08217,9.99991,0.124001,0.487129,9.57672,0.295649,0.1,0.224881,2.84991,0.548693,0.317945,0.1,5.327999999999999,2.6038900000000003,9.94024,0.100256,0.10000099999999999
7,2.0167900000000003,1.55362,0.9417719999999999,0.969166,19.6887,1.49627,2.63429,0.394998,0.1,0.23265999999999998,5.2519599999999995,3.12549,2.4496,3.6536699999999995,0.754555,2.3254,0.734542,2.03185,0.0106318,4.0079400000000005,0.10612100000000001,3.1407599999999998,4.73038,2.82205,1.0977,1.67875,6.5400599999999995,0.100005,1.0507,10.0,0.43147299999999994,5.33635,1.84512,0.727287,0.583533,1.14536,9.99997,2.3722,0.325418,9.96343,5.05428,0.49055,2.6352,0.120225,5.95899
8,2.01683,1.5005,0.956335,0.971981,27.8767,1.5061799999999999,2.59933,0.395072,0.100035,0.8591840000000001,4.07517,0.658525,0.340202,0.1,0.638151,3.00521,0.20920999999999998,7.513889999999999,0.0114026,10.0,2.20787,0.9457700000000001,1.58578,2.56794,0.866132,0.10000099999999999,6.56988,0.10005700000000001,1.0928799999999999,9.99996,0.789555,0.414382,1.5777299999999999,6.46649,0.20258900000000002,1.02031,9.99987,0.928924,0.45288500000000004,9.49334,9.14612,1.1142100000000001,9.99778,9.93956,2.96674
9,2.01684,1.48371,0.9405209999999999,0.9674020000000001,20.9018,1.506,2.62935,0.396458,0.1,0.90364,3.8279699999999997,0.589164,3.20053,0.873117,0.35563,0.1,1.1878799999999998,0.19409,9.94365,9.99978,0.101288,1.3945100000000001,1.2758,0.458283,0.739137,0.112363,6.37257,0.100003,1.1089799999999999,9.99996,0.5896680000000001,6.2925699999999996,1.8610400000000002,0.36385300000000004,0.10001900000000001,0.134718,6.997839999999999,3.63489,0.285717,0.103939,3.53022,0.516329,0.10008600000000001,8.8091,2.59747
